Data;Rendimento real médio de todos os trabalhos efetivos mensais - R$ Penúltimo mês da série - Instituto Brasileiro de Geografia e Estatística, Pesquisa Nacional por Amostra de Domicílios Contínua (IBGE/PNAD Contínua) - PNADC12_RRTE12;
2012.03;2606;
2012.04;2457;
2012.05;2453;
2012.06;2459;
2012.07;2470;
2012.08;2481;
2012.09;2480;
2012.10;2482;
2012.11;2479;
2012.12;2499;
2013.01;2623;
2013.02;2635;
2013.03;2621;
2013.04;2506;
2013.05;2509;
2013.06;2531;
2013.07;2551;
2013.08;2566;
2013.09;2565;
2013.10;2576;
2013.11;2572;
2013.12;2576;
2014.01;2667;
2014.02;2690;
2014.03;2702;
2014.04;2608;
2014.05;2603;
2014.06;2586;
2014.07;2575;
2014.08;2590;
2014.09;2594;
2014.10;2607;
2014.11;2590;
2014.12;2610;
2015.01;2710;
2015.02;2709;
2015.03;2689;
2015.04;2588;
2015.05;2572;
2015.06;2582;
2015.07;2567;
2015.08;2550;
2015.09;2541;
2015.10;2536;
2015.11;2534;
2015.12;2619;
2016.01;2867;
2016.02;2864;
2016.03;2790;
2016.04;2540;
2016.05;2533;
2016.06;2508;
2016.07;2514;
2016.08;2536;
2016.09;2528;
2016.10;2522;
2016.11;2519;
2016.12;2618;
2017.01;2861;
2017.02;2886;
2017.03;2824;
2017.04;2580;
2017.05;2560;
2017.06;2543;
2017.07;2552;
2017.08;2560;
2017.09;2572;
2017.10;2570;
2017.11;2572;
2017.12;2660;
2018.01;2906;
2018.02;2930;
2018.03;2845;
2018.04;2617;
2018.05;2608;
2018.06;2604;
2018.07;2604;
2018.08;2619;
2018.09;2606;
2018.10;2598;
2018.11;2590;
2018.12;2693;
2019.01;2957;
2019.02;2980;
2019.03;2886;
2019.04;2626;
2019.05;2595;
2019.06;2598;
2019.07;2600;
2019.08;2623;
2019.09;2613;
2019.10;2621;
2019.11;2627;
2019.12;2723;
2020.01;2976;
2020.02;2987;
2020.03;2907;
2020.04;2667;
2020.05;2605;
2020.06;2563;
2020.07;2565;
2020.08;2605;
2020.09;2659;
2020.10;2650;
2020.11;2655;
2020.12;2694;
2021.01;2896;
2021.02;2888;
2021.03;2833;
2021.04;2621;
2021.05;2615;
2021.06;2588;
2021.07;2572;
2021.08;2545;
2021.09;2498;
2021.10;2456;
